run_id,variant_id,parent_id,generation,mutation_type,parameter_value,trade_count,paper_pnl,shadow_pnl,sign_flip_rate,degradation_pct,score,status,timestamp,promoted_at,retired_at
test_run_001,baby_001,parent_mean_rev_20_03,1,entry_threshold,0.00315,30,0,1245.0,0,0,93.7,promoted,2026-04-16T20:24:37.431962,2026-04-16T17:07:16.140215,
test_run_001,baby_002,parent_mean_rev_20_03,1,exit_threshold,0.0019,30,0,1245.0,0,0,93.7,active,2026-04-16T20:24:37.432054,,
test_run_001,baby_003,parent_mean_rev_20_03,1,holding_time,315,30,0,1245.0,0,0,93.7,active,2026-04-16T20:24:37.432127,,
test_run_001,baby_004,parent_mean_rev_20_03,1,confirmation_rules,0,30,0,1245.0,0,0,93.7,active,2026-04-16T20:24:37.432194,,
test_run_001,baby_005,parent_mean_rev_20_03,1,stop_loss_sensitivity,1.05,30,0,1245.0,0,0,93.7,promoted,2026-04-16T20:24:37.432256,2026-04-16T16:52:18.220048,
test_run_001,baby_006,parent_mean_rev_20_03,1,target_profit_sensitivity,0.95,30,0,1245.0,0,0,93.7,active,2026-04-16T20:24:37.432316,,
test_run_001,baby_007,parent_mean_rev_20_03,1,entry_threshold,0.00285,30,0,1245.0,0,0,93.7,active,2026-04-16T20:24:37.432376,,
test_run_001,baby_008,parent_mean_rev_20_03,1,exit_threshold,0.0019,30,0,1245.0,0,0,93.7,active,2026-04-16T20:24:37.432434,,
test_run_001,baby_009,parent_mean_rev_20_03,1,holding_time,285,30,0,1245.0,0,0,93.7,active,2026-04-16T20:24:37.432488,,
test_run_001,baby_010,parent_mean_rev_20_03,1,confirmation_rules,0,30,0,1245.0,0,0,93.7,promoted,2026-04-16T20:24:37.432543,,
test_run_1,baby_golden,baseline,0,1,winning_mutation,0.5,40,200.0,150.0,0.06,2.0,0.85,completed,2026-04-21T17:10:31.692161,
test_run_1,baby_edge_01,baseline,0,1,profitable_mutation,0.5,40,200.0,150.0,0.06,2.0,0.85,completed,2026-04-21T17:40:20.989134,
test_run_1,baby_edge_01,baseline,0,1,profitable_mutation,0.5,40,200.0,150.0,0.06,2.0,0.85,completed,2026-04-21T18:01:42.334197,
