run_id,timestamp,asset,signal,source,side,entry_price,exit_price,expected_fill,shadow_fill,pnl,pnl_bps,duration,regime
,2026-04-26T20:09:42.571560,ETH,mean_reversion,paper,long,2368.19,2368.07,2368.19,2368.19,-0.53,-0.5,2350,ranging
,2026-04-26T20:09:42.572540,ETH,mean_reversion,shadow,long,2369.84,2367.71,2368.43,2369.84,-18.97,-109.0,857,ranging
,2026-04-26T20:09:44.581894,ETH,mean_reversion,paper,long,2368.12,2368.15,2368.12,2368.12,0.12,0.1,1358,ranging
,2026-04-26T20:09:44.582699,ETH,mean_reversion,shadow,long,2369.74,2367.71,2368.43,2369.74,-18.56,-108.6,3261,ranging
,2026-04-26T20:12:27.694096,BTC,mean_reversion,paper,long,78282.93,78270.22,78282.93,78282.93,-1.62,-1.6,2504,low_vol
,2026-04-26T20:12:27.694821,BTC,mean_reversion,shadow,long,78331.1,78250.43,78273.92,78331.1,-20.3,-110.3,619,low_vol
,2026-04-26T20:12:33.724555,BTC,mean_reversion,paper,long,78288.83,78271.81,78288.83,78288.83,-2.17,-2.2,2619,low_vol
,2026-04-26T20:12:33.725407,BTC,mean_reversion,shadow,long,78327.86,78250.43,78273.92,78327.86,-19.89,-109.9,2258,low_vol
,2026-04-26T20:12:51.825550,ETH,mean_reversion,paper,long,2368.06,2368.0,2368.06,2368.06,-0.27,-0.3,837,trending
,2026-04-26T20:12:51.826372,ETH,mean_reversion,shadow,long,2368.96,2367.01,2367.72,2368.96,-18.23,-108.2,2561,trending
,2026-04-26T20:12:57.859533,BTC,mean_reversion,paper,long,78259.5,78275.84,78259.5,78259.5,2.09,2.1,917,ranging
,2026-04-26T20:12:57.860358,BTC,mean_reversion,shadow,long,78322.88,78250.43,78273.92,78322.88,-19.25,-109.2,920,ranging
,2026-04-26T20:16:26.822669,ETH,mean_reversion,paper,short,2366.78,2366.71,2366.78,2366.78,0.29,0.3,1962,low_vol
,2026-04-26T20:16:26.823363,ETH,mean_reversion,shadow,short,2366.74,2367.29,2366.59,2366.74,-12.33,-102.3,1166,low_vol
,2026-04-26T20:16:48.930962,BTC,mean_reversion,paper,short,78232.55,78228.62,78232.55,78232.55,0.5,0.5,3009,ranging
,2026-04-26T20:16:48.931637,BTC,mean_reversion,shadow,short,78236.22,78249.77,78226.3,78236.22,-11.73,-101.7,1685,ranging
,2026-04-26T20:16:54.963735,BTC,mean_reversion,paper,short,78227.83,78226.78,78227.83,78227.83,0.13,0.1,3158,high_vol
,2026-04-26T20:16:54.964394,BTC,mean_reversion,shadow,short,78240.72,78248.65,78225.18,78240.72,-11.01,-101.0,796,high_vol
,2026-04-26T20:17:11.044724,ETH,mean_reversion,paper,short,2365.79,2366.39,2365.79,2365.79,-2.52,-2.5,1245,ranging
,2026-04-26T20:17:11.045477,ETH,mean_reversion,shadow,short,2366.6,2366.85,2366.14,2366.6,-11.06,-101.1,653,ranging
,2026-04-26T20:17:13.054587,ETH,mean_reversion,paper,long,2366.13,2366.41,2366.13,2366.13,1.18,1.2,485,ranging
,2026-04-26T20:17:13.055273,ETH,mean_reversion,shadow,long,2367.43,2365.44,2366.14,2367.43,-18.44,-108.4,1971,ranging
,2026-04-26T20:17:17.078919,BTC,mean_reversion,paper,long,78195.49,78210.61,78195.49,78195.49,1.93,1.9,3223,low_vol
,2026-04-26T20:17:17.079553,BTC,mean_reversion,shadow,long,78261.73,78186.18,78209.64,78261.73,-19.65,-109.7,2042,low_vol
